කැසීම,1
සමේ වෙනස් වීම්,3
සමේ ගැටිති,4
කිවිසුම් යාම,4
වෙව්ලීම,5
සිතල,3
හන්දිපත් රුදාව,3
බඩේ අමාරුව,5
ආම්ලිකතාවය,3
දිව වණ වීම,4
මාංශ පේශී අඩු වීම,3
වමනය,5
මුත්‍රා දැවිල්ල,6
ලේ සමග මුත්‍රා යාම,6
තෙහෙට්ටුව,4
බර වැඩිවීම,3
කාංසාව,4
සීතල අත් සහ පාද,5
හැගීම් වෙනස් වීම,3 
බර අඩුවීම,3
අවිවේකී බව,5
කම්මැලිකම,2
උගුරේ පැච්,6
අක්‍රමවත් සීනි මට්ටම,5
කැස්ස,4
අධික උණ,7
අදුරු පැහැ ඇස්,3
හුස්ම හිරවීම,4
දහඩිය දැමීම,3
විජලනය,4
අජීර්ණය,5
හිසරදය,3
කහ පැහැති සම,3
අඳුරු පැහැ මුත්‍රා,4
ඔක්කාරය,5
ආහාර රුචිය_නැති වීම,4
ඇස් පිටුපස වේදනාව,4
කොන්දේ වේදනාව,3
මලබද්ධය,4
උදරයේ වේදනාව,4
පාචනය,6
සාමාන්‍ය උණ,5
කහ පැහැති මුත්‍රා,4
ඇස් කහ වීම,4
අක්මාවේ ක්‍රියාකාරිත්වය නැතිවීම,6
තරල අධික බර,6
බඩේ ඉදිමීම,7
ඉදිමුණු වසා ගැටිති,6
ව්යාධිය,6
නොපැහැදිලි බව,5 
සෙම,5
උගුරේ වේදනාව,4
ඇස් රතු වීම,5
නහය හිර වීම,4
හොටු ගැලීම,5
නාසය හිරවීම,5
පපුවේ වේදනාව,7
අත් පා වල දුර්වලතාවය,7
වේගවත් හෘද ස්පන්දනය,5
මලපහ පිටවීම සමඟ වේදනාව,5
ගුද ප්‍රදේශයේ වේදනාව,6
මලපහ සමග ලේ පිටවීම,5
ගුද මාර්ගයේ අමාරුවක්,6
බෙල්ලේ වේදනාව,5
ක්ලාන්තය,4
මාංශ පේශි කැක්කුම,4
තැලීම්,4
තරබාරුකම,4
ඉදිමුණු පාද,5
ඉදිමුණු නහර,5
ඉදිමුණු මුහුණ සහ ඇස්,5
බෙල්ල ඉදිමීම,6
වියළි නියපොතු,5
කකුල් අත් ඉදිමීම,5
බඩගින්න,4
ලිංගික සම්බන්දතා,5
තොල් වියලීම සහ හිරිවැටීම,4
කතාකිරීමේ අපහසුතාව,4
දණහිස් වේදනාව,3
උකුල් සන්ධි වේදනාව,2
මාංශ පේශි දුර්වල වීම,2
බෙල්ලේ අමාරුව,4
සන්ධි ඉදිමීම,5
චලනයේ අපහසු බව,5
කරකැවිල්ල,6
සමබරතාව නැතිවීම,4
අස්ථාවරත්වය,4
ඇගේ පැත්තක් දුර්වල වීම,4
ගද සුවද නොදැනීම,3
මුත්‍රා කිරීමේ අපහසුතා,4
මුත්‍රා වල දුර්ගන්ධය,5
අඛණ්ඩ මුත්‍රා කිරීමේ අවශ්‍යතාව,6
වාතය පිටවීම,5
අභ්යන්තර කැසීම,4
උදර වේදනාව,5
මානසික ආතතිය,3
නුරුස්නා බව,2
මාංශ පේශි වේදනාව,2
මානසික ව්‍යාකූලත්වය,2
ශරීරයේ රතු බිබිලි,3
බඩේ වේදනාව,4
ඔසප් චක්‍රයේ වෙනස්වීම්,6 
සමේ අවපැහැ ගැන්වීම,6 
කදුළු ගැලීම,4 
අඩික බඩගින්න,5
නිතර මුත්‍රා කිරීම,4
පවුලේ ඉතිහාසය,5
සුදු පැහැ සෙම,4
රතු දුඹුරු සෙම,4
අවදානය අඩු බව,3
දෘශ්‍ය ආබාධ,3
රුධිර පාරවිලයනය,5
එන්නත් ලබා ගැනීම,2
කෝමා තත්වයක් ඇතිවීම,7
බඩේ ලේ ගැලීම,6
උදරයේ අසාමාන්‍ය ඉදිමීම,4
අධික මත්පැන් පරිබෝජනය,5
තරල අධික බර,4
සෙම සමග ලේ පිටවීම,5
කකුල් වල නහර ඉදිමීම,6 
අසාමාන්‍ය හෘද ස්පන්දනය,4 
ඇවිදීමේ අපහසුතාව,2
සැරව පිරුණු කුරුලෑ,2
සමේ කුඩා කළු පැල්ලම්,2 
කැළැල්,2 
සමේ ගැලවී යාම,3
රිදී_වැනි_දූවිලි,2
නියපොතු වල කුඩා අවපාත,2 
නියපොතු වල වලවල්,2
බිබිලි,4
නාසය අවට රතු පැල්ලම්,2
සැරව,3
